_id,year_month,service_name,program_or_facility,neighborhood,address,latitude,longitude,organization,category,recommended_for,requirements,phone,narrative,schedule,holiday_exception
1412,201809,Braddock Free Store,Braddock Free Store,Braddock,"420 Braddock Avenue, PA, 15104",40.404508,-79.870985,Braddock Free Store,miscl-supplies,All in need,None - no documentation required,201-532-1722,"Clothes, household items, some toiletries, baby clothing, formula and diapers - as available.  No furniture or electronics.",Tue: 11am - 1pm; Thu: 11am - 1pm; Sat: 10am - noon,
1413,201809,Forbes Family Medicine Clinic,Forbes Family Medicine Clinic,Monroeville,"500 Mosside Blvd., Suite 500, PA, 15146",40.427214,-79.752444,Forbes Family Medicine Residency Program,clinic,All in need - people without insurance are welcome.  Also takes all insurance plans.,Call for appointment,412-457-1100,"Family-practice oriented - all ages.  Physicians available with specialized training for LGBTW, HIV/AIDS and Transgender.  MUST CALL AHEAD FOR AN APPPOINTMENT.",Mon: 8am - 7pm; Tue: 8am - 11am; Wed - Thu: 8am - 7pm; Fri: 8am - 4:30pm; Closed weekends,
1414,201809,"Sheep, Inc. Medical Clinic - Monroeville","Sheep, Inc. Medical Clinic/Monroeville",Monroeville,"4561 Old William Penn Highway, PA, 15146",40.442658,-79.753954,Monroeville Assembly of God,clinic,For those without medical insurance (all ages),Must be uninsured,412-310-0062,"Free walk-in clinic - must be UNINSURED.  Has doctors, physician assistants and nurses.  Limited pharmacy services.",Thu 5:45pm - 8:30pm,
1415,201809,"Sheep, Inc. Medical Clinic - Turtle Creek","Sheep, Inc. Medical Clinic - Turtle Creek",Turtle Creek,"305 McMasters Avenue, PA, 15145",40.406987,-79.828102,Monroeville Assembly of God,clinic,For those without medical insurance (all ages),Must be uninsured,412-310-0062,"First Saturday of the month ONLY.  Free walk in clinic - must be UNINSURED.  Has doctors, physician assistants and nurses.",ONLY FIRST SATURDAY OF THE MONTH ; 3pm - 5:30pm,
1416,201809,Lost and Found Pharmacy (Free Prescription Medications),Free Prescriptions,Penn Hills,"11555 Franstown Road, PA, 15235",40.464978,-79.829819,Lost and Found Pharmacy,clinic,All in need - call ahead for availability of medication,none,412-243-1369,Non-profit pharmacy.  Generic prescriptions distributed as funding allows.  Call ahead for availability of medication.,Mon - Sat; 8am - 6pm,
1417,201809,Free Dental Care Clinic - June 29 and 30 ONLY,Free Dental Care Event,Uptown,"1001 Fifth Avenue, PA, 15282",40.437698,-79.987838,Mission of Mercy Pittsburgh,clinic,"All in need, except cannot treat pregnant women.",None.  Each patient eligible for one dental procedure per day (but you can return the second day for another). Child care NOT provided.,844-323-4325,"Free two day dental clinic for underserved and under-insured people living in Pittsburgh and the surrounding area.  Free shuttle on the hour from 6am to 6pm- see  at <a href=\http://www.mompgh.org/patient-info/\"" target=\""_blank”>www.mompgh.org</a>  for shuttle locations.""",June 29 & 30; 7am - 4pm; Doors open at 6am,
1418,201809,Cloverleaf Area Food Pantry,Cloverleaf Area Food Pantry,Baldwin,"1 Grove Place, PA, 15236",40.344612,-79.970726,Cloverleaf Area Ecumenical Assistance Program,meals-foodpantries,"Residents within 2 miles of site - Pleasant Hills, Baldwin, Jefferson Boro, South Park, West Mifflin, Whitehall",For emergency - ID with address within two miles of cloverleaf.  Regular food bank requires proof of address and income.,412-207-1657 (Teléfono para el servicio),"Emergency Food for residents of Pleasant Hills, Baldwin, Jefferson Boro, South Park, West Mifflin, Whitehall",Tuesdays ; 9am - noon,
1419,201809,Focus - lunch and dinner,Focus Pittsburgh,Hill District,"2228 Centre Avenue, PA, 15219",40.445174,-79.97496,Focus Pittsburgh,meals,all in need,none,412-261-1234,"Free Bag Lunches for all every Saturday, starting at 11 a.m. Hot meal Wednesday at 4:30pm, Pizza Friday at 11am.","Hot meal, Wed: 4:30pm ; Pizza, Fri: 11:00am; Bag lunches, Sat: 11:00am - until they run out",
1420,201809,Focus - Emergency Food Pantry,Focus Pittsburgh,Hill District,"2228 Centre Avenue, PA, 15219",40.445174,-79.97496,Focus Pittsburgh,meals-foodpantries,All in need,No paperwork or ID requirements; call ahead to ensure availability of food.,412-261-1234,"Free pantry items available to those in need during regular Focus hours. Occasionally toiletries, paper products, or diapers are also available.","Mon - Fri: 9:30am - noon, 1 - 4pm; Sat: 11am - 1pm",
1421,201809,Focus - Clothing Pantry,Focus Pittsburgh,Hill District,"2228 Centre Avenue, PA, 15219",40.445174,-79.97496,Focus Pittsburgh,miscl-supplies,All,None,412-261-1234,"Enter door on right, front of building","Mon - Fri: 9:30am-noon, 1-4pm; Sat: 11am - 1pm",
1422,201809,Focus - Medical/Behavioral Health Clinic,Focus Pittsburgh,Hill District,"2228 Centre Avenue, PA, 15219",40.445174,-79.97496,Focus Pittsburgh,clinic,People of all ages who do not qualify for Medicaid or are uninsured.  They will assist with Medicaid paperwork if patients are not sure.,CALL FOR APPOINTMENT:  For people who do not qualify for Medicaid or are uninsured.  They will assist with Medicaid paperwork if patients are not sure.,412-502-5024,"By appointment ONLY.  Volunteer doctors for general medicine, OB/GYN, psychiatrists, psychologists, dentists.",By appointment ONLY.  Call ahead for availability,
1423,201809,Food Pantry - Grace United Church of Christ,Food Pantry - Grace United Church of Christ,Duquesne,"100 South 7th Street, PA, 15110",40.370516,-79.851898,Grace United Church of Christ,meals-foodpantries,All in need,"Call first - either Rev. Condron or Marsha Miller, Food Bank Director",412-466-1635,"No more than once/month.  Regular pantry requires proof of income. Prepacked bags, not self-service.",Mon and Fri; 9am - noon ; Emergency by appointment,
1424,201809,Library - McKeesport,Carnegie Library of McKeesport,McKeesport,"1507 Library Street, PA, 15132",40.344993,-79.855283,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-215-0641,Library,Mon - Wed 8:00am - 8:00pm; Thu and Fri 8:00am - 6:30pm; Sat 9:00am - 1:00pm; Closed Sunday,
1425,201809,Library - Wilkinsburg,Wilkinsburg Public Library,Wilkinsburg,"605 Ross Avenue, PA, 15221",40.443206,-79.885941,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-244-2940,Library,"Mon, Wed 10:00am - 8:00pm; Tue, Thu 10:00am - 6:00pm; Fri, Sat 10:00am - 5:00pm",
1426,201809,Library - Whitehall,Whitehall Public Library,Whitehall,"100 Borough Park Drive, PA, 15236",40.350734,-79.979956,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-882-6622,Library,Mon - Thur 9:00am - 9:00pm; Fri 1:00pm - 5:00pm; Sat 9:00am - 5:00pm; Sun noon - 4:00pm,
1427,201809,Library - Oakdale,Western Allegheny Community Library,Oakdale,"181 Bateman Rd., PA, 15071",40.436685,-80.233636,Allegheny County Library Association (ACLA),roof-daytime,All,None,724-695-8150,Library,"Mon - Thu 9:00am - 8:00pm ; Fri, Sat 9:00am - 2:00pm; Sun 1:00pm - 5:00pm",Closed during date: 2017/11/16; Closed during date: 2017/11/17; Hours changed on date: 2017/11/18. Hours are: 12:00 am-1:000 pm; 
1428,201809,Library - Swissvale,Carnegie Free Library of Swissvale,Swissvale,"1800 Monongahela St., PA, 15218",40.422597,-79.891003,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-731-2300,Up steps to front door,"Mon, Tue, Thu 10:00am - 8:00pm; Wed, Fri 10:00am - 4:00pm; Sat 9:00am - 4:00pm",
1429,201809,Library - Sto-Rox,F.O.R Sto-Rox Library,McKees Rocks,"420 Chartiers Avenue, PA, 15136",40.464862,-80.058749,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-771-1222,Library,Mon - Thur 10am - 8pm ; Fri - Sat 10:00am - 5:00pm ; Closed Sun,
1430,201809,Library - Springdale,Springdale Free Public Library,Springdale,"331 School Street, PA, 15144",40.542301,-79.778172,Allegheny County Library Association (ACLA),roof-daytime,All,None,724-274-9729,Library,"Mon, Wed, Thu noon - 8:00pm; Tue, Fri 10:00am - 5:00pm; Sat 9:00am - 4:00pm ; Closed Sunday",
1431,201809,Library - Sewickley,Sewickley Public Library,Sewickley,"500 Thorn Street, PA, 15143",40.538848,-80.181215,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-741-6920,Library,Mon - Thu 9:00am - 9:00pm ; Fri 9:00am - 6:00pm; Sat 9:00am - 5:00pm ; Sun 1:00pm - 4:00pm,
1432,201809,Library - Scott Township,Scott Township Public Library,Scott Township,"301 Lindsay Road, PA, 15106",40.386726,-80.084195,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-429-5380,Library,"Mon, Tue 10:00am - 8:00pm ; Wed, Thu noon - 8:00pm ; Fri noon - 5:00pm; Sat 10:00am - 2:00pm; Closed Sunday",
1433,201809,Library - Pleasant Hills,Pleasant  Hills Public Library,Pleasant Hills,"302 Old Clairton Road, PA, 15236",40.333871,-79.961815,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-655-2424,Library,Mon - Fri 10:00am - 8:30pm ; Sat 10:00am - 2:00pm; Sun noon - 3:00pm,
1434,201809,Library - Oakmont,Oakmont Carnegie Library,Oakmont,"700 Allegheny River Boulevard, PA, 15139",40.521862,-79.841745,Allegheny County Library Association (ACLA),roof-daytime,All,None,,Library,"Mon, Thu 10:00am - 8:00pm ; Tue, Wed 10:00am - 6:00pm; Fri noon - 4:00pm; Sat 9:00am - 4:00pm; Closed Sunday",
1435,201809,Library - Northland (North Hills),Northland Public Library,North Hills,"300 Cumberland Rd., PA, 15237",40.570905,-80.034981,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-366-8100,Library,Mon - Thu 9:00am - 9:00pm ; Fri 9:00am - 6:00pm ; Sat 9:00am - 5:00pm ; Sun 1:00pm - 5:00pm,
1436,201809,Library - North Versailles,North Versailles Public Library,North Versailles,"1401 Greensburg Highway, PA, 15137",40.381314,-79.818069,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-823-2222,Library,"Mon, Wed, Fri 10:00am - 5:00pm ; Tue, Thu 11:00am - 8:00pm ; Sat 10:00am - 4:00pm; Closed Sunday",
1437,201809,Library - Andrew Bayne (Bellevue),Andrew Bayne Memorial Library,Bellvue,"34 North Balph Avenue, PA, 15202",40.49643,-80.05417,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-766-7447,Library,"Mon, Wed 10:00am - 8:00pm ; Tue, Thu 10:00am - 6:00pm ; Fri, Sat 10:00 - 5:00pm ; Closed Sunday",
1438,201809,Library - Avalon,Avalon Public Library,Avalon,"317 S. Home Avenue, PA, 15202",40.497157,-80.062521,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-761-2288,Library,"Mon, Wed 10:00am - 6:00pm; Tue, Thu noon - 8:00pm; Fri 10:00am - 5:00pm ; Sat 9:00am - 4:00pm ; Closed Sunday",
1439,201809,Library - Bethel Park,Bethel Park Public Library,Bethel Park,"5100 West Library Avenue, PA, 15102",40.332895,-80.031238,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-835-2207,Library,"Mon - Thu 9:00am - 9:00pm ; Fri, Sat 9:00am - 5:00pm ; Closed Sunday",
1440,201809,Library - Braddock,Braddock Carnegie Library,Braddock,"419 Library St., PA, 15104",40.401653,-79.865256,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-351-5356,Library,"Mon, Fri 10:00am - 5:00pm ; Tue, Wed, Thu 11:00am - 8:00pm ; Sat 9:00am - 4:00pm ; Closed Sunday",
1441,201809,Library - Brentwood,Brentwood Library,Brentwood,"3501 Brownsville Road, PA, 15227",40.375156,-79.975002,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-882-5694,Library,Mon - Thu 10:00am - 8:30pm ; Fri 1:00pm - 5:00pm ; Sat 10:00am - 3:00pm ; Sun noon - 4:00pm,
1442,201809,Library - Carnegie,Andrew Carnegie Free Library,Carnegie,"300 Beechwood Avenue, PA, 15106",40.406815,-80.085442,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-276-3456,Library,Mon 2:00pm - 7:00pm; Tue - Thu 10:00am - 7:00pm; Fri 10:00am - 5:00pm; Sat 11:00am - 3:00pm,
1443,201809,Library - Natrona Heights,Community Library of Allegheny Valley (CLAV) - Natrona Heights,Natrona Heights,"1522 Broadview Blvd., PA, 15065",40.620786,-79.72855,Allegheny County Library Association (ACLA),roof-daytime,All,None,724-226-3491,Library,Mon - Thu 11:30am - 8:30pm; Fri 10:00am - 2:00pm; Sat 9:00am - 4:00pm; Closed Sunday,
1444,201809,Library - Tarentum,Community Library of Allegheny Valley (CLAV) - Tarentum,Tarentum,"400 Lock Street, PA, 15084",40.601588,-79.753884,Allegheny County Library Association (ACLA),roof-daytime,All,None,724-226-0770,Library,Mon - Wed 10:00am - 6:00pm ; Fri 10:00am - 4:00pm ; Sat 10:00am -2:00pm ; Closed Thursday and Sunday,
1445,201809,Library - Edgewood,C.C. Mellor Memorial Library - Edgewood,Edgewood,"1 Pennwood Drive, PA, 15218",40.432042,-79.885025,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-731-0909,Library,Mon - Thu 10:00am - 8:00pm ; Fri 10:00am - 5:00pm; Sat 9:00am - 4:00pm ; Closed Sunday,
1446,201809,Library - Fox Chapel,Cooper-Siegel Community Library,Fox Chapel,"403 Fox Chapel Road, PA, 15238",40.515225,-79.879587,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-828-9520,Library,"Mon, Wed, Thu 10:00am - 8:00pm ; Tues, Fri, Sat 10:00am - 5:00pm ; Closed Sunday",
1447,201809,Library - Crafton,Crafton Public Library,Crafton,"140 Bradford Avenue, PA, 15205",40.434286,-80.067014,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-922-6877,Library,"Mon 9:00am - 5:00pm ; Tues, Wed, Thu noon - 8:00pm ; Fri 9:00am - 5:00pm ; Sat 9:00am - 4:00pm ; Closed Sunday",
1448,201809,Library - Castle Shannon,Community Library of Castle Shannon,Castle Shannon,"3677 Myrtle Avenue, PA, 15234",40.367907,-80.022371,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-563-4552,Library,"Mon, Wed 1:00pm - 9:00pm ; Tues, Thu 10:00am - 9:00pm; Fri 1:00pm - 5:00pm ; Sat 10:00am - 5:00pm ; Closed Sunday",
1449,201809,Library - Dormont,Dormont Public Library,Dormont,"2950 West Liberty Avenue, PA, 15216",40.394103,-80.03587,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-531-8754,Library,"Mon - Thu 9:00am - 9:00pm; Fri, Sat 9:00am - 5:00pm; Closed Sunday",
1450,201809,Library - Jefferson Hills,Jefferson Hills Public Library,Jefferson Hills,"925 Old Clairton Rd., PA, 15025",40.297325,-79.929553,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-655-7741,Library,Mon - Thu 10:00am - 8:30pm ; Sat 10:00am - 3:00pm ; Sun 1:00pm - 4:00pm ; Closed Friday,
1451,201809,Library - Millvale,Millvale Community Library,Millvale,"213 Grant Avenue, PA, 15209",40.47896,-79.971507,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-822-7081,Library,"Tue noon -8:00pm ; Wed, Thu 10:00am - 6:00pm ; Fri 10:00am - 2:00pm ; Sat 10:00am - 5:00pm ; Closed Sunday and Monday",
1452,201809,Library - Monroeville,Monroeville Public Library,Monroeville,"4000 Gateway Campus Blvd., PA, 15146",40.429161,-79.754765,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-372-0500,Library,"Mon - Thu 9:00am - 9:00pm ; Fri, Sat 9:00am - 5:00pm ; Sun noon - 3:00pm",
1453,201809,Library - Mt. Lebanon,Mt. Lebanon Public Library,Mount Lebanon,"16 Castle Shannon Blvd., PA, 15228",40.377266,-80.045408,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-531-1912,Library,"Mon Thu 9:00am - 9:00pm ; Fri, Sat 9:00am - 5:00pm ; Sun 1:00pm - 5:00pm",
1454,201809,Loaves and Fishes Food Pantry,Loaves and Fishes Food Pantry (NHCO),McCandless,"1975 Ferguson Road, PA, 15101",40.56375,-79.9888,North Hills Community Outreach,meals-foodpantries,All in need,Emergency food one time only. Must call ahead.,412-487-6316,"Must call ahead. Emergency pantry items will be provided one time only (for regular pantry, you must meet income and zip code requirements - 150% of Federal Poverty Guidelines). Serves Hampton, McCandless, Ross, Lower Richland and Upper Shaler.",Mon - Fri: 9am - 4pm are main hours.,
1455,201809,North Boroughs Food Pantry,North Boroughs Food Pantry,Bellevue,"100 South Jackson Ave., 2nd Floor, PA, 15202",40.495473,-80.060197,North Hills Community Outreach,meals-foodpantries,All in need,Emergency food one time only. Must call ahead.,412-487-6316,"Emergency pantry items will be provided one time only (for regular pantry, you must meet income and zip code requirements - 150% of Federal Poverty Guidelines). Serves area code 15202.",Mon - Fri: 9am - 4pm are main hours.,
1456,201809,9th Street Clinic (Thursdays),9th Street Clinic,McKeesport,"410 Ninth Street, PA, 15132",40.347197,-79.862446,UPMC - Ninth Street Clinic,clinic,Adults 19-65,For the uninsured (they will check to see if prospective patients are qualified for medical assistance).,412-664-4304,"A walk-in primary care clinic for uninsured adults. First come, first served - new patients need to be checked in by 6 p.m.  HIV testing and councilor available on-site.",Thu: 1pm - 7pm,
1457,201809,Roots of Faith Community Dinner,Roots of Faith Community Dinner,Sharpsburg,"800 Main Street, PA, 15215",40.494596,-79.934345,Roots of Faith/Faith United Methodist Church,meals,All are welcome,This is a sit down dinner with a program - not a soup kitchen,412-799-0111,"Sit down dinner first 3 Thursdays of every month at 6:00pm.  First Thursday is a neighborhood table for socializing, the second Thursday is a legal clinic with attorneys from Dickey McCamey & Chilcote, PC, the third has medical staff from UPMC is a free health clinic for primary care help - screenings, flu shots.",The first three Thursdays of every month at 6:00pm.,
1458,201809,Emergency Food Pantry - Prospect Park/Whitehall,Emergency Food Pantry - Prospect Park/Whitehall,Prospect Park/Whitehall,"1450 Maple Drive #B, PA, 15227",40.36537,-79.965477,SHIM - South Hills Interfaith Movement,meals-foodpantries,"Residents of Baldwin-Whitehall, South Park, Bethel Park, Keystone Oaks, Mt. Lebanon and Upper St. Clair School Districts.",Call first,412-892-4673,"Call first, then come during regular pantry hours: 1st and 3rd Wednesdays of each month, from 10am to 1pm and 3pm to 5pm.  Food and produce in season.  Often has toilet paper, soap, other toiletries.","1st and 3rd Wednesdays of each month; 10am - 1pm and 3pm - 5pm; (May change during the holidays, call to confirm schedule)",
1459,201809,Emergency Food Pantry - Bethel Park,Emergency Food Pantry - Bethel Park,Bethel Park,"5301 Park Avenue, PA, 15102",40.328463,-80.028404,SHIM - South Hills Interfaith Movement,meals-foodpantries,"Residents of Baldwin-Whitehall, South Park, Bethel Park, Keystone Oaks, Mt. Lebanon and Upper St. Clair School Districts.",Call first,412-854-9120,"Call first, then come during regular pantry hours: 2nd and 4th Thursdays of each month from 10am to 4pm and all Fridays from 2pm to 6pm. Food and produce in season (some gluten free foods also available).  Often has toilet paper, soap, other toiletries.","2nd and 4th Thurs: 10am - 2pm; All Fridays: 2pm - 6pm; (may change during holidays, call to confirm schedule)",
1460,201809,Emergency Food Pantry - Baldwin,Emergency Food Pantry - Baldwin,Baldwin,"201 Knoedler Rd, PA, 15236",40.341987,-79.982515,SHIM - South Hills Interfaith Movement,meals-foodpantries,"Residents of Baldwin-Whitehall, South Park, Bethel Park, Keystone Oaks, Mt. Lebanon and Upper St. Clair School Districts.",Call first,412-854-9120,"Call first, then come during regular pantry hours: 2nd and 4th Tuesdays of each month from 10am - 1pm and 3pm - 5pm.  Food and produce in season.  Often has toilet paper, soap, other toiletries.","2nd and 4th Tuesdays of each month: 10am - 1pm, 3pm - 5pm; (may change during holidays, call to confirm schedule)",
1461,201809,SHIM - Community Clothing Closet,SHIM - Community Clothing Closet,Bethel Park,"5301 Park Avenue, PA, 15102",40.32847,-80.028391,SHIM - South Hills Interfaith Movement,miscl-supplies,All in need,None,412-854-9120,"Selection of clothes for infants, children and adults.  No appointment required.",Mon: 10am - 1pm ; Tue: 1pm - 4pm,
1462,201809,Emergency Food Pantry - Natrona Heights,AVAC - Emergency Food Pantry,Natrona Heights,"1913 Freeport Road, PA, 15065",40.625836,-79.722926,Allegheny Valley Association of Churches/AVAC Interfaith Hospitality Network,meals-foodpantries,All in need living in service area,"Must prove residence in zip code 15065, 15084, 15030, 15014 or 15068",724-226-0606,"Call for appointment, Mon through Fri, 9:00am - 5:00pm.  Canned and box goods, toiletries and sometimes pet food.",Mon through Fri; 9:00am - 5:00pm,Closed during date: 2017/11/23; Closed during date: 2017/11/24; 
1463,201809,Veteran X Program,Veteran X Program,Aspinwall,"1010 Delafield Road, PA, 15215",40.496211,-79.887066,Veteran X - VA Recovery Center,expert-lookup,Veterans,Veteran - Veteran ID required.  Call before attending.,412-822-3896,"Interactive support group that works together to solve simulated, everyday problems experienced by fictitious Veteran X.  Discuss training, education, employment, behavioral health issues with a trained VA facilitator.",Mon 6:00pm - 8:00pm,Closed during date: 2017/12/25; Closed during date: 2018/01/01; 
1464,201809,South Avenue Methodist Church Drop In Center,South Avenue Methodist Church Drop In Center,Wilkinsburg,"733 South Avenue, PA, 15221",40.441899,-79.884252,South Avenue Methodist Church,roof-daytime,All in need,none,412-371-7421,"Daytime Drop In Center.  Wifi, but no computers.  In a quiet library room.",Mon - Thu; 9:00am - 3:00pm,
1465,201809,Free Store Wilkinsburg,Free Store Wilkinsburg,Wilkinsburg,"619 Penn Avenue, PA, 15221",40.443924,-79.884871,Free Store Wilkinsburg,miscl-supplies,All in need,none - no documentation required,412-436-9836,"Clothes, household items, some toiletries, baby clothing, formula and diapers - as available.  No furniture or electronics.",Sat 11am - 2pm,
1466,201809,Chapel Market (Clothing Closet),Chapel Market,East Liberty,"116 S. Highland Avenue, PA, 15206",40.460944,-79.926152,East Liberty Presbyterian Church,miscl-supplies,all,none - no documents required\nRegistration on arrival (will ask for zip code and assistance enrollment),412-441-3800,"Clothing for adults, children, infants, shoes, coats and winter gear",Mondays 10am - 12pm Except Holidays; First Thursdays 5:00 pm 7:30pm,Closed during date: 2018/05/28; 
1467,201809,St. James Church Food Pantry,St. James Church Food Pantry,WIlkinsburg,"718 Franklin Avenue, PA, 15218",40.44033,-79.885147,St. James Roman Catholic Church,meals-foodpantries,Wilkinsburg area residents,"Must register by phone or in person, Mon, Tue, Fri between 10am - 2pm",412-241-1309,"Open every 3rd Saturday 9 - 11am. Canned goods, some meats, toiletries, paper products, occasional baked goods. Self-serve.",3rd Saturday of the month.,
1468,201809,Mary's Child Baby Supplies,Mary's Child Program,Wilkinsburg,"718 Franklin Avenue, PA, 15218",40.44033,-79.885147,St. James Roman Catholic Church,miscl-supplies,"Parents, caregivers, and moms-to-be of children birth to age 5, in the Wilkinsburg area.","Must register by phone or in person, Mon, Tue, Fri between 10am - 2pm.",412-241-1309,"clothing, baby food, diapers, baby wipes, toiletries, toys, books and educational materials, gently used baby supplies. Full layettes for pregnant moms.","Third Saturdays of the month, 9am - 11am.",
1469,201809,Open Computer Time at Veteran's Leadership Program,Veterans Leadership Program,Strip District,"2934 Smallman St, PA, 15201",40.459144,-79.973942,Veterans Leadership Program of Western Pennsylvania,roof-daytime,all Veterans,none,412-481-8200,"Open computer time, check your email, or receive personalized computer assistance",Wednesdays 2-4pm,
1470,201809,Financial Literacy,Veterans Leadership Program,Strip District,"2934 Smallman St, PA, 15201",40.459144,-79.973942,Veterans Leadership Program of Western Pennsylvania,expert-lookup,all Veterans,none,412-481-8200,Join us for a Free Financial Literacy Class,1st Wednesdays of every month 1-2pm,
1471,201809,Wilkinsburg Food Pantry,Wilkinsburg Food Pantry,Wilkinsburg,"300 Hay Street, PA, 15221",40.438657,-79.88841,Second United Presbyterian Church (2nd),meals-foodpantries,All in need,"None - ask for photo ID at check in, but nobody is turned away.",412-242-4430,"Food Pantry - emergency and regular.  Food is pre-bagged dry and canned items, plus bag of paper products - toilet paper, paper towels, tissues/napkins.  No pet food, no toiletries, sometimes have fresh meat and produce. Bring cart or box for food.",2nd Wednesday of each month; 5:30pm - 7pm,
1472,201809,Crossroads Church East Liberty Free Store,Crossroads Church East Liberty Free Store,East Liberty,"325 N Highland Avenue (across from Home Depot and Vento's Pizza), PA, 15206",40.46446,-79.923735,Crossroads Church,miscl-supplies,all,none,412-867-7950,"clothing, clothing for job interviews, baby and children's clothing and supplies, household items, furniture.; ; Call to schedule an appointment outside of regular hours.",2nd and 4th Saturdays 10am - 1pm,
1473,201809,Emergency Food Pantry - McKees Rocks,Emergency Food Pantry - McKees Rocks,McKees Rocks,"420 Chartiers Avenue, PA, 15136",40.46482,-80.058591,Focus on Renewal,meals-foodpantries,all in need - call first,Resident of McKees Rocks or Stowe.  Must register and show ID for regular pantry.,412-331-1685 X 213,"MUST CALL AHEAD for emergency food.   Will get one bag of food, pre-selected by staff.  Only once/month. Usually have paper products. Occasionally have laundry supplies and toiletries.",By appointment only; Mon - Fri; 9:00am - 4:00pm,
1474,201809,Lunch - Focus on Renewal (Sto Rox Community Resource Center),Focus on Renewal Drop In Center,Mckees Rocks,"500 Chartiers Ave, PA, 15136",40.4649826,-80.05884100000003,Focus on Renewal,meals,all,none,412-331-1685,cold lunch served weekdays,weekdays 11:30am - 12:30pm,
1475,201809,Community Breakfast at Brown Chapel Church,Brown Chapel Church,Northside/Allegheny City Central,"1400 Boyle St, PA, 15212",40.4576012,-80.0061756,Brown Chapel Church,meals,all,none,412-918-0097,"Big, Hot Breakfast for all!",4th Saturdays: 8:30am - 12:30pm,
1476,201809,Brown Chapel Church Food Pantry,Brown Chapel Church,Northside/Allegheny City Central,"1400 Boyle St, PA, 15212",40.4576012,-80.0061756,Brown Chapel Church,meals-foodpantries,all,"emergency food available, once only for emergency food, documentation required for monthly program (ID, Proof Income, address). Staff will work with you!",412-321-2240,"Shelf-stable food, as well as vegetables, meat, and eggs available. \self-serve.\""""",4th Wednesdays: 9am -2pm,
1477,201809,Ronald McDonald Care Mobile - Clairton,Ronald McDonald Care Mobile - Clairton,Clairton,"533 Miller Avenue, PA, 15025",40.293809,-79.883345,Children's Hospital of Pittsburgh of UPMC,clinic,Children & teens,"No appointment necessary, but call ahead to confirm schedule: 412-352-1059, Mon - Fri, 8 a.m. to 5 p.m.  (sometimes there are last minute changes due to mechanical issues or bad weather). Free for all children and teens.",412-352-1059,"Adolescent health care, asthma care, hearing and vision screenings, immunizations, referrals for specialty care, routine physical exams, sick child visits, well-child and infant care","Mon, 8/6: 9:30am - 2pm; Mon, 8/20: 9:30am - 2pm; Mon, 8/27: 9:30am - 2pm",
1478,201809,Ronald McDonald Care Mobile - Woods Run,Ronald McDonald Care Mobile - Woods Run,Woods Run,"1201 Woods Run Avenue, PA, 15212",40.476299,-80.03043,Children's Hospital of Pittsburgh of UPMC,clinic,Children & Teens,"No appointment necessary, but call ahead to confirm schedule: 412-352-1059, Mon - Fri, 8 a.m. to 5 p.m.  (sometimes there are last minute changes due to mechanical issues or bad weather). Free for all children and teens.",412-352-1059,"Adolescent health care, asthma care, hearing and vision screenings, immunizations, referrals for specialty care, routine physical exams, sick child visits, well-child and infant care","Tue, 8/7: 9:30am - 2pm",
1479,201809,Ronald McDonald Care Mobile - Duquesne,Ronald McDonald Care Mobile – Duquesne,Duquesne,"300 Kennedy Avenue, PA, 15110",40.371648,-79.847814,Children's Hospital of Pittsburgh of UPMC,clinic,Children & teens,"No appointment necessary, but call ahead to confirm schedule: 412-352-1059, Mon - Fri, 8 a.m. to 5 p.m.  (sometimes there are last minute changes due to mechanical issues or bad weather). Free for all children and teens.",412-352-1059,"Adolescent health care, asthma care, hearing and vision screenings, immunizations, referrals for specialty care, routine physical exams, sick child visits, well-child and infant care","Wed, 8/8: 9:30am - 2pm; Wed, 8/22: 9:30am - 2pm; Wed, 8/29: 9:30am - 2pm",
